chunk,runtime_seconds,num_predicted_masks,num_ground_truth_masks,count_error,dice,semantic_iou,true_positives_iou001,false_positives_iou001,false_negatives_iou001,precision_iou001,recall_iou001,f1_iou001,mean_matched_iou_iou001,panoptic_quality_iou001,true_positives_iou05,false_positives_iou05,false_negatives_iou05,precision_iou05,recall_iou05,f1_iou05,mean_matched_iou_iou05,panoptic_quality_iou05
chunk_z5_y55_x5000_z000000_y000768_x000512,6.946029899991117,105,138,-33,0.7437084072329402,0.5919870924192658,78,27,60,0.7428571428571429,0.5652173913043478,0.6419753086419753,0.5199530292066438,0.33379700640426513,51,54,87,0.4857142857142857,0.3695652173913043,0.4197530864197531,0.6201125187668212,0.2602941436799002
chunk_z5_y55_x5000_z000000_y000768_x000640,6.357127498020418,118,133,-15,0.7725253113846602,0.6293615001186803,90,28,43,0.7627118644067796,0.6766917293233082,0.7171314741035856,0.52930315807067,0.3795799539949028,59,59,74,0.5,0.44360902255639095,0.4701195219123506,0.6460722007663788,0.30373115414515023
chunk_z5_y55_x5000_z000000_y000768_x000768,6.559671454015188,117,154,-37,0.7999408203577969,0.6665844767724695,91,26,63,0.7777777777777778,0.5909090909090909,0.6715867158671587,0.5953353518383153,0.3998193137807136,67,50,87,0.5726495726495726,0.43506493506493504,0.49446494464944646,0.6815809995205965,0.33701791120206614
chunk_z5_y55_x5000_z000000_y000768_x000896,6.370556961977854,114,140,-26,0.772069863192292,0.6287571581225854,84,30,56,0.7368421052631579,0.6,0.6614173228346457,0.5469210411016217,0.3617430508073718,56,58,84,0.49122807017543857,0.4,0.4409448818897638,0.6568022918457943,0.2896136090028699
chunk_z5_y55_x5000_z000000_y000768_x001024,6.458262556931004,103,130,-27,0.7897014231234304,0.6524847985539413,88,15,42,0.8543689320388349,0.676923076923077,0.755364806866953,0.6047177409799835,0.45678249962436523,65,38,65,0.6310679611650486,0.5,0.5579399141630901,0.6749529241064884,0.3765831765401008
chunk_z5_y55_x5000_z000000_y000768_x001152,6.422624196973629,99,130,-31,0.7858445411169307,0.647235521092042,79,20,51,0.797979797979798,0.6076923076923076,0.6899563318777292,0.5728438239292005,0.39523722349700297,52,47,78,0.5252525252525253,0.4,0.45414847161572053,0.6844276691589144,0.31083177988003097
chunk_z5_y55_x5000_z000000_y000896_x000000,6.444871456013061,47,118,-71,0.3482486588829284,0.21083600794742474,25,22,93,0.5319148936170213,0.211864406779661,0.30303030303030304,0.20199953379955984,0.061211979939260565,1,46,117,0.02127659574468085,0.00847457627118644,0.012121212121212121,0.53220696937698,0.006450993568205818
chunk_z5_y55_x5000_z000000_y000896_x000128,6.46398670389317,72,137,-65,0.6270132561855002,0.4566783029845583,49,23,88,0.6805555555555556,0.35766423357664234,0.4688995215311004,0.3689400609462641,0.17299581805135827,12,60,125,0.16666666666666666,0.08759124087591241,0.11483253588516748,0.631908656578003,0.07256367348264149
chunk_z5_y55_x5000_z000000_y000896_x000256,6.434224667027593,64,117,-53,0.6499547355261456,0.4814318101989335,44,20,73,0.6875,0.37606837606837606,0.4861878453038673,0.41625522557904565,0.20237823122075146,22,42,95,0.34375,0.18803418803418803,0.24309392265193366,0.597252458625528,0.14518844298079134
chunk_z5_y55_x5000_z000000_y000896_x000384,6.320049606030807,71,125,-54,0.5267286461359675,0.3575231709721948,39,32,86,0.5492957746478874,0.312,0.39795918367346944,0.3672497860574761,0.14615042506368947,10,61,115,0.14084507042253522,0.08,0.10204081632653061,0.6348439745938356,0.06477999740753423
chunk_z5_y55_x5000_z000000_y000896_x000512,6.5089656569762155,105,143,-38,0.6939926024722592,0.531384893979912,65,40,78,0.6190476190476191,0.45454545454545453,0.5241935483870968,0.3995998170577054,0.20946764603831333,25,80,118,0.23809523809523808,0.17482517482517482,0.20161290322580644,0.614383814914683,0.12386770461989577
chunk_z5_y55_x5000_z000000_y000896_x000640,6.429334565065801,80,123,-43,0.7066360594739763,0.5463551575332931,59,21,64,0.7375,0.4796747967479675,0.5812807881773399,0.512185929475303,0.29772384077874753,35,45,88,0.4375,0.2845528455284553,0.3448275862068965,0.6354469623451146,0.21911964218797056
chunk_z5_y55_x5000_z000000_y000896_x000768,6.487793563050218,100,131,-31,0.749819040725361,0.5997684056557777,76,24,55,0.76,0.5801526717557252,0.658008658008658,0.5232679094144101,0.344314814852772,50,50,81,0.5,0.3816793893129771,0.43290043290043295,0.6347546051332856,0.2747855433477427
