chunk,runtime_seconds,num_predicted_masks,num_ground_truth_masks,count_error,dice,semantic_iou,true_positives_iou001,false_positives_iou001,false_negatives_iou001,precision_iou001,recall_iou001,f1_iou001,mean_matched_iou_iou001,panoptic_quality_iou001,true_positives_iou05,false_positives_iou05,false_negatives_iou05,precision_iou05,recall_iou05,f1_iou05,mean_matched_iou_iou05,panoptic_quality_iou05
chunk_z5_y36_x0,660.3136555219535,8301,11237,-2936,0.7007623074069775,0.5393642067206302,3548,4753,7689,0.42741838332730997,0.3157426359348581,0.36318968164602317,0.41777544195530325,0.1517317297632732,1336,6965,9901,0.1609444645223467,0.11889294295630506,0.1367591360425837,0.6080465428585781,0.08315591987501897
chunk_z5_y45_x2500,657.7373758220347,3035,29213,-26178,0.028943198090321004,0.014684101474031132,1253,1782,27960,0.4128500823723229,0.042891863211583885,0.07771024559662615,0.07984583013408939,0.006204839069586579,2,3033,29211,0.0006589785831960461,6.846267072878513e-05,0.00012403870007442322,0.6022430683900708,7.470144733193635e-05
chunk_z5_y55_x5000,656.1671424919041,9864,16350,-6486,0.6639867435066955,0.4969911340921064,6710,3154,9640,0.6802514193025142,0.41039755351681956,0.5119401846341649,0.4595075487438448,0.23524037934471645,3234,6630,13116,0.3278588807785888,0.19779816513761467,0.24673838406958112,0.6469845903146932,0.15963593233216739
